id,address,categories,city,country,keys,latitude,longitude,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,menuPageURL
AVwekPNCIN2L1WUf6JkT,1424 Morris Ave,Restaurants,Union,US,us/townley/union/1424morrisave/-769578656,40.689149,-74.246889,Adriatico Pizza,7083,NA,NA,NA,Townley,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5v2ssgu8na9VrRV-lB9vPYLTAdm8xCCpDewu1L15dWJet2ziGLvQ3wmTkILVIypGemJlEMtkeWOu4u0xObKFIoQh3JtF_KbAcSrZ6f9XnS2Acx6QRtjDIOSQ3Mpn5VswFub2wRYljSONW_QwsQOv_0Cj3vFJhbuGl84dvhNNLsKBM_oXaKQ-S1aM1qrQ1nR7XUE8FWwOQ5h2tWF1ocdtB0HrSpsjFNr7taUI5V58KtTdKWrNOXGZ3kprGu2j8kmRk7VzdN_UaE66cAyVciWY7AKT9E-0BlFZUmeWzovSZctxyVnJfBhMKoA8KqYYc6TRr6MKMu5WMDVcebxB03OIJ2muH4MPoS_MNPiJuc9mtijRyzMca3veKd4lbX-LNcJUtrOoRVnDXqcsf8jT6DCnuoAvP8rBR1pc2tDsa7_SImZpA&placement=listing_profile&cs_user=unknown&cs_session=3273a4d3941f71cd21750c197f8bef17d99ecd76
AVweKtj0ByjofQCxv3O5,300 S Doheny Dr,Restaurant,Los Angeles,US,us/bicentennial/losangeles/300sdohenydr/-1349307550,34.073552,-118.38953,Culina,90048,USD,0,30,Bicentennial,NA
AVweLpbykufWRAb5AtXk,16501 Midland Dr,"Italian Restaurant,American Restaurant",Shawnee,US,us/shawneemission/shawnee/16501midlanddr/638672302,38.998837,-94.77836,Paulo and Bill,66217,USD,25,40,Shawnee Mission,NA
AVwelVdlByjofQCxzlx_,75 State Route 15,Restaurant,Wharton,US,us/nj/wharton/75stateroute15/-1823377343,40.930761,-74.590374,Taphouse 15,7885,USD,0,30,NJ,NA
AVweMogukufWRAb5A2I3,1263 7th St,"Pizza Place,Italian Restaurant",Upland,US,us/ca/upland/12637thst/-2468312,34.08911799,-117.6719276,San Biagio's Pizza,NA,USD,0,25,CA,NA
AVwemQnaIN2L1WUf6b6O,Woodward Ave Bloomfield Hills Mi,American Restaurant,Bloomfield Hills,US,us/bloomfldhls/bloomfieldhills/woodwardavebloomfieldhillsmi/1322961727,42.60250297,-83.26210238,Rusty Bucket,48304,USD,25,40,Bloomfld Hls,NA
AVweMUavByjofQCxwFAf,1 Collins Diboll Cir,"Contemporary Louisiana,Seafood Restaurant,Caf��,Café,Caf and Seafood Restaurant City Park",New Orleans,US,us/la/neworleans/1collinsdibollcir/-350088654,29.986293,-90.093148,Cafe Noma,70124,NA,NA,NA,LA,NA
AVweM-X1_7pvs4fzA8Y0,6173 S State St,Restaurant,Salt Lake City,US,us/saltlakecty/saltlakecity/6173sstatest/-154262629,40.636451,-111.889105,Brio Tuscan Grille - Murray,84107,USD,0,30,Salt Lake Cty,NA
AVweN2Yc_7pvs4fzBD6z,1 Crossgates Mall Road Crossgates Mall,Restaurant,Albany,US,us/mckownville/albany/1crossgatesmallroadcrossgatesmall/-740921592,42.688044,-73.852385,The Melting Pot - Albany,12203,USD,0,30,Mckownville,NA
AVweNADb_7pvs4fzA8kz,250 Center Ave,Restaurant,Westwood,US,us/rivervale/westwood/250centerave/-787011025,40.9921,-74.0316,The Melting Pot - Westwood,7675,USD,31,50,Rivervale,NA
AVwenNhpkufWRAb5Ei9c,2180 Us Highway 70 S E,"Bars & Clubs,Restaurants,Bars & Pubs",Hickory,US,us/longview/hickory/2180ushighway70se/-2093720949,35.70428,-81.299671,Applebee's,28602,USD,25,40,Longview,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QaTrQRGS9JDM7v_T6nf9rnF0SLL0BLL2CkztHXcEhCqEOddIfzVXbdKpK410Hon6h5CU473WjgMURm9UEB3xuDeOkL-BhQcbErvO1u-zq-5df7z-UMpxP063ZOUUxN-f6KgqaSBLO3m9aOB7QoaU8s3xN3phZHyBozfp4IBC-4Tx9VyDv21rJMdZbCMEUcMLuWZWiRF9M5B7bbbnjWcQs90UvmaDuzIxKetCslzM61WyyDfiwszCBhU8TiYvcl7Fk2sMrl861HlVqw67ZVSIxeWjhFiZF_MuQzG56FHuV5BQUGW6gTH7fajB2hNmFwQ33_SQ-Tzd8SN7scIP0v4An74bYpePkOvjWqXkeb3rdusAh7FEYr4OadMCGW5_uR3UNKGscKUN6Oo4c6ldhOThCrKg6xdCS_I6fPsWaUINtoMUoVl0MbSLzHE&placement=listing_profile&cs_user=unknown&cs_session=49753beb7d7f802338d8c0526984cd133776d845
AVweNQFOkufWRAb5A7ai,1411 Mountain Rd,Caf,Joppa,US,us/joppatowne/joppa/1411mountainrd/839186949,39.43921497,-76.34532504,Maria D's,21085,NA,NA,NA,Joppatowne,NA
AVweOJegkufWRAb5BDHv,115 E Dale St,"Italian Restaurant,American Restaurant,Art Gallery",Colorado Springs,US,us/cospgs/coloradosprings/115edalest/603071291,38.845066,-104.822204,Dale Street Bistro Cafe,80903,USD,25,40,Co Spgs,NA
AVwePsZ1kufWRAb5BQJ3,10 Matinicock Ave,Harbor / Marina,Port Washington,US,us/baxterestates/portwashington/10matinicockave/761419574,40.83593671,-73.70459683,Manhasset Bay Marina,11050,NA,NA,NA,Baxter Estates,NA
AVwePveSByjofQCxwihf,3801 Broadway,Diner,New York,US,us/nyc/newyork/3801broadway/914540078,40.83469579,-73.94468171,Coral Restaurant,10032,USD,25,40,Nyc,NA
